modifier_id,affix_type,source,tier,level,weight,effect,page_url
1507014,基础词缀,力量头部,0,1,1,+(3–5)% 元素抗性上限,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507015,基础词缀,力量头部,0,1,1,(16–20)% 受到的物理伤害转化为火焰伤害,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507016,基础词缀,力量头部,0,1,1,(36–45)% 受到的混沌伤害转化为火焰伤害,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507017,基础词缀,力量头部,0,1,1,对非物理伤害，+(13–14)% 护甲有效率,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507010,基础词缀,力量头部,1,1,1,"+(6–8)% 元素和混沌抗性穿透
召唤物 +(6–8)% 元素和混沌抗性穿透",https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507011,基础词缀,力量头部,1,1,1,"+(5–7)% 护甲减伤穿透
召唤物 +(5–7)% 护甲减伤穿透",https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507012,基础词缀,力量头部,1,1,1,+(6–8)% 魔力封印补偿,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507013,基础词缀,力量头部,1,1,1,+(7–8)% 光环效果,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507018,基础词缀,力量头部,1,1,1,"造成伤害时，施加火焰渗透，对每个敌人拥有 1 秒间隔时间
召唤物造成伤害时，施加火焰渗透，对每个敌人拥有 1 秒间隔时间",https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507019,基础词缀,力量头部,1,1,1,拥有邪祟；召唤物拥有邪祟,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507000,基础词缀,力量头部,2,1,1,+(54–74) 最大生命,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507001,基础词缀,力量头部,2,1,1,+(760–960) 护甲值,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507002,基础词缀,力量头部,2,1,1,+(5–10)% 火焰抗性,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507003,基础词缀,力量头部,2,1,1,+(5–10)% 冰霜抗性,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507004,基础词缀,力量头部,2,1,1,+(5–10)% 闪电抗性,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507005,基础词缀,力量头部,2,1,1,+(5–10)% 混沌抗性,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507006,基础词缀,力量头部,2,1,1,+(15–20) 力量,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507007,基础词缀,力量头部,2,1,1,+(15–20) 敏捷,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507008,基础词缀,力量头部,2,1,1,+(15–20) 智慧,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1507009,基础词缀,力量头部,2,1,1,+(20–24)% 技能范围,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504015,基础词缀,力量手套,0,1,1,+(3–5)% 元素抗性上限,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504010,基础词缀,力量手套,1,1,1,造成伤害时，+100% 几率使目标瘫痪,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504011,基础词缀,力量手套,1,1,1,"+(6–8)% 元素和混沌抗性穿透
召唤物 +(6–8)% 元素和混沌抗性穿透",https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504012,基础词缀,力量手套,1,1,1,"+(5–7)% 护甲减伤穿透
召唤物 +(5–7)% 护甲减伤穿透",https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504013,基础词缀,力量手套,1,1,1,+(6–8)% 魔力封印补偿,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
1504014,基础词缀,力量手套,1,1,1,+(7–8)% 光环效果,https://tlidb.com/cn/Craft#%E8%AF%8D%E7%BC%80
